                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0559,                0.21736,                0.29584,                0.66343,                 1.1899,                0.94795,                0.95556,                0.94841,                0.60992,                0.99204,                      1,                  0.995,                  0.995,                 1.2125,                0.12204,                  0.069,                0.63275,                 1.4254,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0545,                0.17836,                0.32442,                0.69877,                  1.183,                0.93094,                0.95556,                0.95173,                0.62952,                0.97424,                      1,                 0.9937,                0.99172,                 1.1902,                0.12112,                0.06799,                0.62335,                 1.4002,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0267,                0.19512,                0.29796,                0.66215,                 1.1712,                 0.9575,                0.97778,                0.97322,                0.65922,                0.98028,                      1,                  0.995,                  0.995,                 1.1391,                0.10192,                0.07909,                0.60452,                 1.3243,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0818,                0.24354,                0.31588,                 0.7002,                 1.1848,                0.94473,                0.95556,                0.95159,                0.64955,                0.98946,                      1,                  0.995,                0.99332,                 1.1338,                0.10196,                0.08151,                0.58554,                 1.3376,               0.000713,               0.000713,               0.000713
                     68,                 1.0429,                0.18127,                0.29316,                0.66086,                 1.1585,                 0.9288,                0.93333,                0.94456,                0.63973,                0.99585,                      1,                  0.995,                0.99085,                 1.1211,                0.12396,                0.07693,                 0.5651,                 1.3516,              0.0006932,              0.0006932,              0.0006932
                     69,                0.99499,                0.21833,                0.27832,                0.66566,                 1.1402,                0.91462,                0.95232,                  0.947,                0.62763,                0.98659,                      1,                  0.995,                0.99212,                 1.1149,                0.13915,                0.07291,                0.55512,                 1.3419,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.9481,                0.17737,                0.26552,                0.61991,                 1.1125,                0.93833,                0.95556,                 0.9494,                0.62164,                0.98233,                      1,                  0.995,                0.98533,                 1.1111,                 0.1634,                0.06934,                0.57303,                 1.3531,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0532,                0.19223,                0.26773,                0.66592,                 1.1547,                0.94462,                0.95556,                0.94801,                0.62512,                0.98901,                      1,                  0.995,                0.98305,                 1.0974,                0.16538,                0.07223,                0.57969,                 1.3455,              0.0006338,              0.0006338,              0.0006338
                     72,                0.92507,                0.15971,                0.28023,                0.62745,                 1.0823,                0.95034,                0.95556,                0.94601,                0.61505,                0.99469,                      1,                  0.995,                0.98462,                 1.1299,                0.16142,                0.07936,                0.56295,                  1.373,               0.000614,               0.000614,               0.000614
                     73,                0.97048,                0.19723,                0.31312,                0.64133,                 1.1472,                0.97088,                0.97778,                0.97204,                0.60235,                0.99311,                      1,                  0.995,                 0.9907,                 1.1257,                0.14753,                0.08044,                0.57047,                 1.3654,              0.0005942,              0.0005942,              0.0005942
                     74,                0.99472,                0.15714,                0.24795,                0.64355,                 1.1387,                0.96587,                0.97778,                0.97321,                0.63728,                0.98782,                      1,                  0.995,                0.99287,                  1.152,                0.12535,                0.07889,                0.55799,                  1.351,              0.0005744,              0.0005744,              0.0005744
                     75,                0.96469,                  0.146,                0.30583,                0.66636,                 1.1213,                0.97037,                0.97778,                0.97244,                0.63887,                0.99242,                      1,                  0.995,                  0.995,                 1.1324,                0.11622,                0.07825,                0.55305,                 1.3535,              0.0005546,              0.0005546,              0.0005546
